id,name,patchFilename,date,description,link,patch_link,license
0,Project Gemini,geminiPatch.png,4/8/64,Second American manned spaceflight program ,https://en.wikipedia.org/wiki/Project_Gemini,https://en.wikipedia.org/wiki/File:GeminiPatch.png,public_domain
1,Gemini IV,gemini-iv.jpg,6/3/65,First American spacewalk,https://en.wikipedia.org/wiki/Gemini_4,https://commons.wikimedia.org/wiki/File:Gemini_Four_patch.jpg,public_domain
2,Gemini 6a,gemini-6a.png,12/15/65,First manned redevous with another spacecraft,https://en.wikipedia.org/wiki/Gemini_6A,https://en.wikipedia.org/wiki/File:Gemini_6A_patch.png,public_domain
3,Gemini 11,gemini-11.png,9/12/66,"Set earth orbital altitude record (1,369 km)",https://en.wikipedia.org/wiki/Gemini_11,https://en.wikipedia.org/wiki/File:Gemini_11_patch.png,public_domain
4,Apollo 11,apollo-11.png,7/6/69,First moon landing,https://en.wikipedia.org/wiki/Apollo_11,https://commons.wikimedia.org/wiki/File:Apollo_11_insignia.png,public_domain
5,Shuttle STS-7,sts-7.png,6/18/83,First American woman in space (Sally Ride),https://en.wikipedia.org/wiki/STS-7,https://commons.wikimedia.org/wiki/File:Sts-7-patch.png,public_domain
7,Cassini,cassini.gif,7/4/04,Best pictures of Saturn,https://en.wikipedia.org/wiki/Cassini%E2%80%93Huygens,https://solarsystem.nasa.gov/resources/17338/cassini-unveiling-the-myth/,public_domain
8,Voyager 1,voyager.png,9/5/77,Farthest travelling man made object,https://en.wikipedia.org/wiki/Voyager_1,https://www.jpl.nasa.gov/missions/voyager-1/,public_domain
9,Apollo 8,apollo-8.png,12/21/68,First mission to the moon. Made 10 orbits of the moon,https://en.wikipedia.org/wiki/Apollo_8,https://commons.wikimedia.org/wiki/File:Apollo-8-patch.png,public_domain
10,Apollo 13,apollo-13.png,4/11/70,Third Moon landing attempt. Aborted due to spacecraft failure.,https://en.wikipedia.org/wiki/Apollo_13,https://en.wikipedia.org/wiki/File:Apollo_13-insignia.png,public_domain
11,Apollo 17,apollo-17.png,12/7/72,Sixth and final Moon landing. 22 hours on the surface and 110 kilograms of moon rock returned,https://en.wikipedia.org/wiki/Apollo_17,https://en.wikipedia.org/wiki/File:Apollo_17-insignia.png,public_domain
